0,1,2,3,4,5,6,7,8,9,10,11
2026/02/21,00:10,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:20,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:30,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:40,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:50,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,01:00,0.0,-,64348,,0.0,,14.61,,35.0,
2026/02/21,01:10,0.0,-,64348,,0.0,,17.99,,35.0,
2026/02/21,01:20,0.0,-,64348,,0.0,,18.07,,35.0,
2026/02/21,01:30,0.0,-,64348,,0.0,,17.98,,35.0,
2026/02/21,01:40,0.0,-,64348,,0.0,,17.96,,35.0,
2026/02/21,01:50,0.0,-,64348,,0.0,,18.08,,35.0,
2026/02/21,02:00,0.0,-,64323,,1.96,,18.2,,35.0,
2026/02/21,02:10,0.0,-,64323,,1.96,,18.03,,35.0,
2026/02/21,02:20,0.0,-,64298,,2.6,,17.98,,35.0,
2026/02/21,02:30,0.0,-,64298,,2.6,,17.9,,35.0,
2026/02/21,02:40,0.0,-,64298,,2.6,,17.85,,35.0,
2026/02/21,02:50,0.0,-,64273,,1.37,,18.09,,35.0,
2026/02/21,03:00,0.0,-,64273,,1.37,,17.92,,35.0,
2026/02/21,03:10,0.0,-,64248,,0.0,,17.97,,35.0,
2026/02/21,03:20,0.0,-,64248,,0.0,,18.02,,35.0,
2026/02/21,03:30,0.0,-,64248,,0.0,,17.98,,35.0,
2026/02/21,03:40,0.0,-,64223,,1.34,,18.09,,35.0,
2026/02/21,03:50,0.0,-,64223,,1.34,,18.04,,35.0,
2026/02/21,04:00,0.0,-,64198,,0.0,,18.04,,35.0,
2026/02/21,04:10,0.0,-,64198,,0.0,,17.99,,35.0,
2026/02/21,04:20,0.0,-,64198,,0.0,,17.92,,35.0,
2026/02/21,04:30,0.0,-,64174,,4.15,,17.88,,35.0,
2026/02/21,04:40,0.0,-,64149,,0.0,,18.0,,35.0,
2026/02/21,04:50,0.0,-,64149,,0.0,,17.93,,35.0,
2026/02/21,05:00,0.0,-,64149,,0.0,,17.93,,35.0,
2026/02/21,05:10,0.0,-,64149,,0.0,,0.0,,35.0,
2026/02/21,05:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,05:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,05:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,05:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:00,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:10,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:00,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:10,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:00,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:10,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,09:00,0.0,-,64124,,0.0,,16.1,,35.0,
2026/02/21,09:10,0.0,-,64124,,0.0,,18.9,,35.0,
2026/02/21,09:20,0.0,-,64124,,0.0,,18.92,,35.0,
2026/02/21,09:30,0.0,-,64099,,0.82,,19.02,,35.0,
2026/02/21,09:40,0.0,-,64099,,0.82,,19.11,,35.0,
2026/02/21,09:50,0.0,-,64099,,0.82,,19.02,,35.0,
2026/02/21,10:00,0.0,-,64074,,2.37,,19.04,,35.0,
2026/02/21,10:10,0.0,-,64074,,2.37,,17.92,,35.0,
2026/02/21,10:20,0.0,-,64074,,2.37,,18.03,,35.0,
2026/02/21,10:30,0.0,-,64049,,3.35,,17.91,,35.0,
2026/02/21,10:40,0.0,-,64049,,3.35,,17.99,,35.0,
2026/02/21,10:50,0.0,-,64024,,0.0,,18.1,,35.0,
2026/02/21,11:00,0.0,-,64024,,0.0,,17.99,,35.0,
2026/02/21,11:10,0.0,-,63999,,0.0,,17.98,,35.0,
2026/02/21,11:20,0.0,-,63999,,0.0,,18.06,,35.0,
2026/02/21,11:30,0.0,-,63999,,0.0,,17.81,,35.0,
2026/02/21,11:40,0.0,-,63974,,2.02,,18.04,,35.0,
2026/02/21,11:50,0.0,-,63974,,2.02,,18.08,,35.0,
2026/02/21,12:00,0.0,-,63974,,2.02,,17.94,,35.0,
2026/02/21,12:10,0.0,-,63949,,2.65,,17.95,,35.0,
2026/02/21,12:20,0.0,-,63949,,2.65,,17.96,,35.0,
2026/02/21,12:30,0.0,-,63924,,0.0,,17.98,,35.0,
2026/02/21,12:40,0.0,-,63924,,0.0,,18.02,,35.0,
2026/02/21,12:50,0.0,-,63899,,0.67,,18.07,,35.0,
2026/02/21,13:00,0.0,-,63899,,0.67,,17.95,,35.0,
2026/02/21,13:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:00,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:00,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:00,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,17:00,0.0,-,63899,,0.67,,16.17,,35.0,
2026/02/21,17:10,0.0,-,63899,,0.67,,18.06,,35.0,
2026/02/21,17:20,0.0,-,63899,,0.67,,17.97,,35.0,
2026/02/21,17:30,0.0,-,63874,,1.33,,18.02,,35.0,
2026/02/21,17:40,0.0,-,63874,,1.33,,17.98,,35.0,
2026/02/21,17:50,0.0,-,63874,,1.33,,17.94,,35.0,
2026/02/21,18:00,0.0,-,63849,,2.02,,18.02,,35.0,
2026/02/21,18:10,0.0,-,63849,,2.02,,17.98,,35.0,
2026/02/21,18:20,0.0,-,63824,,2.0,,18.09,,35.0,
2026/02/21,18:30,0.0,-,63824,,2.0,,18.01,,35.0,
2026/02/21,18:40,0.0,-,63824,,2.0,,17.94,,35.0,
2026/02/21,18:50,0.0,-,63799,,2.02,,17.88,,35.0,
2026/02/21,19:00,0.0,-,63774,,0.0,,18.04,,35.0,
2026/02/21,19:10,0.0,-,63774,,0.0,,17.96,,35.0,
2026/02/21,19:20,0.0,-,63774,,0.0,,18.01,,35.0,
2026/02/21,19:30,0.0,-,63774,,0.0,,18.01,,35.0,
2026/02/21,19:40,0.0,-,63749,,6.45,,17.93,,35.0,
2026/02/21,19:50,0.0,-,63749,,6.45,,18.01,,35.0,
2026/02/21,20:00,0.0,-,63724,,1.97,,18.05,,35.0,
2026/02/21,20:10,0.0,-,63724,,1.97,,18.01,,35.0,
2026/02/21,20:20,0.0,-,63724,,1.97,,17.96,,35.0,
2026/02/21,20:30,0.0,-,63700,,2.01,,17.98,,35.0,
2026/02/21,20:40,0.0,-,63700,,2.01,,18.02,,35.0,
2026/02/21,20:50,0.0,-,63675,,0.66,,17.75,,35.0,
2026/02/21,21:00,0.0,-,63675,,0.66,,17.95,,35.0,
2026/02/21,21:10,0.0,-,63675,,0.66,,18.1,,35.0,
2026/02/21,21:20,0.0,-,63650,,1.35,,17.82,,35.0,
2026/02/21,21:30,0.0,-,63650,,1.35,,17.9,,35.0,
2026/02/21,21:40,0.0,-,63650,,1.35,,17.94,,35.0,
2026/02/21,21:50,0.0,-,63625,,1.97,,18.02,,35.0,
2026/02/21,22:00,0.0,-,63625,,1.97,,17.98,,35.0,
2026/02/21,22:10,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,22:20,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,22:30,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,22:40,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,22:50,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,23:00,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,23:10,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,23:20,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,23:30,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,23:40,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,23:50,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/21,24:00,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,00:10,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,00:20,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,00:30,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,00:40,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,00:50,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,01:00,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,01:10,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,01:20,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,01:30,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,01:40,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,01:50,0.0,-,63600,,0.0,,0.0,,35.0,
2026/02/22,02:00,0.0,-,63600,,0.0,,15.3,,35.0,
2026/02/22,02:10,0.0,-,63600,,0.0,,17.99,,35.0,
2026/02/22,02:20,0.0,-,63600,,0.0,,18.01,,35.0,
2026/02/22,02:30,0.0,-,63600,,0.0,,17.92,,35.0,
2026/02/22,02:40,0.0,-,63600,,0.0,,18.06,,35.0,
2026/02/22,02:50,0.0,-,63575,,1.77,,18.06,,35.0,
2026/02/22,03:00,0.0,-,63575,,1.77,,17.89,,35.0,
2026/02/22,03:10,0.0,-,63575,,1.77,,17.92,,35.0,
2026/02/22,03:20,0.0,-,63550,,1.37,,17.92,,35.0,
2026/02/22,03:30,0.0,-,63550,,1.37,,17.95,,35.0,
2026/02/22,03:40,0.0,-,63525,,0.67,,18.02,,35.0,
2026/02/22,03:50,0.0,-,63525,,0.67,,17.98,,35.0,
2026/02/22,04:00,0.0,-,63525,,0.67,,18.12,,35.0,
2026/02/22,04:10,0.0,-,63500,,0.68,,17.96,,35.0,
2026/02/22,04:20,0.0,-,63500,,0.68,,18.14,,35.0,
2026/02/22,04:30,0.0,-,63475,,1.34,,17.98,,35.0,
2026/02/22,04:40,0.0,-,63475,,1.34,,18.0,,35.0,
2026/02/22,04:50,0.0,-,63450,,0.0,,18.02,,35.0,
2026/02/22,05:00,0.0,-,63450,,0.0,,17.9,,35.0,
2026/02/22,05:10,0.0,-,63425,,0.0,,17.97,,35.0,
2026/02/22,05:20,0.0,-,63425,,0.0,,18.06,,35.0,
2026/02/22,05:30,0.0,-,63425,,0.0,,18.14,,35.0,
2026/02/22,05:40,0.0,-,63400,,5.41,,18.1,,35.0,
2026/02/22,05:50,0.0,-,63400,,5.41,,17.99,,35.0,
2026/02/22,06:00,0.0,-,63375,,0.0,,17.87,,35.0,
2026/02/22,06:10,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,06:20,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,06:30,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,06:40,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,06:50,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,07:00,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,07:10,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,07:20,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,07:30,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,07:40,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,07:50,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,08:00,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,08:10,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,08:20,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,08:30,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,08:40,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,08:50,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,09:00,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,09:10,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,09:20,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,09:30,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,09:40,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,09:50,0.0,-,63375,,0.0,,0.0,,35.0,
2026/02/22,10:00,0.0,-,63375,,0.0,,15.99,,35.0,
2026/02/22,10:10,0.0,-,63375,,0.0,,17.98,,35.0,
2026/02/22,10:20,0.0,-,63375,,0.0,,17.89,,35.0,
2026/02/22,10:30,0.0,-,63350,,0.76,,17.98,,35.0,
2026/02/22,10:40,0.0,-,63350,,0.76,,17.9,,35.0,
2026/02/22,10:50,0.0,-,63350,,0.76,,17.98,,35.0,
2026/02/22,11:00,0.0,-,63325,,1.35,,17.99,,35.0,
2026/02/22,11:10,0.0,-,63325,,1.35,,17.91,,35.0,
2026/02/22,11:20,0.0,-,63300,,1.98,,17.93,,35.0,
2026/02/22,11:30,0.0,-,63300,,1.98,,17.94,,35.0,
2026/02/22,11:40,0.0,-,63275,,0.0,,18.0,,35.0,
2026/02/22,11:50,0.0,-,63275,,0.0,,18.02,,35.0,
2026/02/22,12:00,0.0,-,63275,,0.0,,17.88,,35.0,
2026/02/22,12:10,0.0,-,63251,,6.44,,17.98,,35.0,
2026/02/22,12:20,0.0,-,63251,,6.44,,18.23,,35.0,
2026/02/22,12:30,0.0,-,63226,,0.0,,17.83,,35.0,
2026/02/22,12:40,0.0,-,63226,,0.0,,17.81,,35.0,
2026/02/22,12:50,0.0,-,63226,,0.0,,17.82,,35.0,
2026/02/22,13:00,0.0,-,63201,,3.68,,18.03,,35.0,
2026/02/22,13:10,0.0,-,63201,,3.68,,17.85,,35.0,
2026/02/22,13:20,0.0,-,63176,,1.98,,17.99,,35.0,
2026/02/22,13:30,0.0,-,63176,,1.98,,17.93,,35.0,
2026/02/22,13:40,0.0,-,63176,,1.98,,18.1,,35.0,
2026/02/22,13:50,0.0,-,63151,,2.03,,18.18,,35.0,
2026/02/22,14:00,0.0,-,63151,,2.03,,17.89,,35.0,
2026/02/22,14:10,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,14:20,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,14:30,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,14:40,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,14:50,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,15:00,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,15:10,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,15:20,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,15:30,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,15:40,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,15:50,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,16:00,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,16:10,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,16:20,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,16:30,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,16:40,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,16:50,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:00,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:10,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:20,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:30,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:40,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,17:50,0.0,-,63126,,0.0,,0.0,,34.0,
2026/02/22,18:00,0.0,-,63126,,0.0,,14.66,,34.0,
2026/02/22,18:10,0.0,-,63126,,0.0,,18.22,,34.0,
2026/02/22,18:20,0.0,-,63126,,0.0,,17.96,,34.0,
2026/02/22,18:30,0.0,-,63126,,0.0,,17.98,,34.0,
2026/02/22,18:40,0.0,-,63126,,0.0,,18.03,,34.0,
2026/02/22,18:50,0.0,-,63101,,1.57,,18.0,,34.0,
2026/02/22,19:00,0.0,-,63101,,1.57,,18.02,,34.0,
2026/02/22,19:10,0.0,-,63101,,1.57,,17.86,,34.0,
2026/02/22,19:20,0.0,-,63076,,2.0,,18.19,,34.0,
2026/02/22,19:30,0.0,-,63051,,0.0,,18.08,,34.0,
2026/02/22,19:40,0.0,-,63051,,0.0,,17.86,,34.0,
2026/02/22,19:50,0.0,-,63026,,2.63,,17.87,,34.0,
2026/02/22,20:00,0.0,-,63026,,2.63,,17.97,,34.0,
2026/02/22,20:10,0.0,-,63026,,2.63,,18.06,,34.0,
2026/02/22,20:20,0.0,-,63001,,4.11,,18.02,,34.0,
2026/02/22,20:30,0.0,-,63001,,4.11,,17.89,,34.0,
2026/02/22,20:40,0.0,-,62976,,0.0,,17.94,,34.0,
2026/02/22,20:50,0.0,-,62976,,0.0,,18.1,,34.0,
2026/02/22,21:00,0.0,-,62976,,0.0,,18.07,,34.0,
2026/02/22,21:10,0.0,-,62951,,2.01,,18.03,,34.0,
2026/02/22,21:20,0.0,-,62951,,2.01,,17.97,,34.0,
2026/02/22,21:30,0.0,-,62926,,0.0,,17.94,,34.0,
2026/02/22,21:40,0.0,-,62926,,0.0,,17.86,,34.0,
2026/02/22,21:50,0.0,-,62926,,0.0,,18.05,,34.0,
2026/02/22,22:00,0.0,-,62901,,6.14,,17.97,,34.0,
2026/02/22,22:10,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,22:20,0.0,-,62901,,6.14,,0.0,,34.0,
2026/02/22,22:30,0.0,-,62901,,6.14,,0.0,,34.0,
